,BUSCADOR DE CARRERAS 2026,,,,,,,,,,,,,,,,,,Porcentaje de matriculados según establecimiento de origen,,,,,,,,,,,Ponderaciones,,,,,,,,
Código único de carrera ,Código institución ,Área del conocimiento,Tipo de institución,Nombre institución,Nombre carrera,Región,Jornada,Sede,Arancel Anual 2026,Costo de titulación,Duración Formal (semestres),Nivel carrera ,Matrícula Total Femenina 2025,Matrícula Total Masculina 2025,Matrícula Total 2025,Matrícula 1er año Femenina 2025,Matrícula 1er año Masculina 2025,Matrícula 1er año Total 2025,Municipal y Servicios Locales,Particular Subvencionado ,Particular Pagado,Administración Delegada,Titulación Femenina 2024,Titlación Masculina 2024,Titulación Total 2024,Rango ingreso a 1er año con PAES 2025,Promedio PAES 2025 de Matrícula 1er año 2025,Promedio NEM 2025 de Matrícula 2025,Vacantes 1er semestre ,NEM,Ranking ,PAES Lenguaje,PAES Matemáticas ,PAES Matemáticas 2,PAES Historia ,PAES Ciencias ,Otros ,Área Carrera Genérica
I1S1C10J4V1,1,Ciencias Sociales,Universidades,UNIVERSIDAD GABRIELA MISTRAL,LICENCIATURA EN HISTORIA,Metropolitana,A Distancia,CASA CENTRAL,$ 3.407.000,$ 321.000,8,Profesional,25,43,68,4,3,7,26.1%,58.7%,15.2%,0.0%,4,6,10, - , - , 5.9 ,30,0,0,0,0,0,0,0,0,Historia
I1S1C10J4V2,1,Ciencias Sociales,Universidades,UNIVERSIDAD GABRIELA MISTRAL,LICENCIATURA EN HISTORIA,Metropolitana,A Distancia,CASA CENTRAL,$ 3.407.000,$ 340.000,4,Profesional,0,0,0,0,0,0,s/i,s/i,s/i,s/i,0,0,0, - , - , s/i ,20,0,0,0,0,0,0,0,0,Historia
I1S1C10J4V3,1,Ciencias Sociales,Universidades,UNIVERSIDAD GABRIELA MISTRAL,LICENCIATURA EN HISTORIA,Metropolitana,A Distancia,CASA CENTRAL,$ 3.407.000,$ 340.000,5,Profesional,0,0,0,0,0,0,s/i,s/i,s/i,s/i,0,0,0, - , - , s/i ,10,0,0,0,0,0,0,0,0,Historia
I1S1C12J1V1,1,Ciencias Sociales,Universidades,UNIVERSIDAD GABRIELA MISTRAL,PSICOLOGIA,Metropolitana,Diurna,CASA CENTRAL,$ 5.629.000,$ 531.000,10,Profesional,368,235,603,60,45,105,16.8%,63.6%,16.1%,3.5%,10,3,13, 80% <= X <= 100% , 561.9 , 5.8 ,200,30,40,10,10,0,10,10,0,Psicología
I1S1C12J2V4,1,Ciencias Sociales,Universidades,UNIVERSIDAD GABRIELA MISTRAL,PSICOLOGIA,Metropolitana,Vespertina,CASA CENTRAL,$ 5.629.000,$ 562.000,8,Profesional,34,10,44,0,0,0,36.4%,22.7%,31.8%,9.1%,13,2,15, - , - , 5.8 ,25,0,0,0,0,0,0,0,0,Psicología
I1S1C12J4V4,1,Ciencias Sociales,Universidades,UNIVERSIDAD GABRIELA MISTRAL,PSICOLOGIA,Metropolitana,A Distancia,CASA CENTRAL,$ 5.737.000,$ 531.000,8,Profesional,893,208,1101,0,0,0,30.0%,49.9%,18.7%,1.4%,0,0,0, - , - , 5.8 ,25,0,0,0,0,0,0,0,0,Psicología
I1S1C185J4V1,1,Arte y Arquitectura,Universidades,UNIVERSIDAD GABRIELA MISTRAL,LICENCIATURA EN ARTES DIGITALES,Metropolitana,A Distancia,CASA CENTRAL,$ 3.407.000,$ 340.000,2,Profesional,0,0,0,0,0,0,s/i,s/i,s/i,s/i,0,0,0, - , - , s/i ,25,0,0,0,0,0,0,0,0,Artes y Licenciatura en Artes
I1S1C196J1V2,1,Tecnología,Universidades,UNIVERSIDAD GABRIELA MISTRAL,INGENIERIA CIVIL INFORMATICA,Metropolitana,Diurna,CASA CENTRAL,$ 5.752.000,$ 543.000,10,Profesional,8,59,67,2,8,10,14.5%,64.5%,11.3%,9.7%,0,0,0, - , - , 6.1 ,60,30,35,10,10,5,10,10,0,Ingeniería Civil en Computación e Informática
I1S1C20J4V3,1,Administración y Comercio,Universidades,UNIVERSIDAD GABRIELA MISTRAL,INGENIERIA EN ADMINISTRACION DE EMPRESAS,Metropolitana,A Distancia,CASA CENTRAL,$ 4.114.000,$ 377.000,5,Profesional,47,40,87,0,0,0,23.4%,57.4%,12.8%,6.4%,8,7,15, - , - , 5.5 ,75,0,0,0,0,0,0,0,0,Administración de Empresas e Ing. Asociadas
